AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.080_CD_0.020_CoP_0.450,0.08,0.02,0.45,Lap_Sim_constantAero_T27.m not found.,1
CL_0.040_CD_0.010_CoP_0.375,0.04,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,2
CL_0.050_CD_0.010_CoP_0.375,0.05,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,3
CL_0.060_CD_0.010_CoP_0.375,0.06,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,4
CL_0.070_CD_0.010_CoP_0.375,0.07,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,5
CL_0.080_CD_0.010_CoP_0.375,0.08,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,6
CL_0.090_CD_0.010_CoP_0.375,0.09,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,7
CL_0.100_CD_0.010_CoP_0.375,0.1,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,8
CL_0.110_CD_0.010_CoP_0.375,0.11,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,9
CL_0.120_CD_0.010_CoP_0.375,0.12,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,10
CL_0.130_CD_0.010_CoP_0.375,0.13,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,11
CL_0.140_CD_0.010_CoP_0.375,0.14,0.01,0.375,Lap_Sim_constantAero_T27.m not found.,12
CL_0.040_CD_0.015_CoP_0.375,0.04,0.015,0.375,Lap_Sim_constantAero_T27.m not found.,13
CL_0.050_CD_0.015_CoP_0.375,0.05,0.015,0.375,Lap_Sim_constantAero_T27.m not found.,14
CL_0.060_CD_0.015_CoP_0.375,0.06,0.015,0.375,Lap_Sim_constantAero_T27.m not found.,15
CL_0.070_CD_0.015_CoP_0.375,0.07,0.015,0.375,Lap_Sim_constantAero_T27.m not found.,16
CL_0.080_CD_0.015_CoP_0.375,0.08,0.015,0.375,Lap_Sim_constantAero_T27.m not found.,17
CL_0.090_CD_0.015_CoP_0.375,0.09,0.015,0.375,Lap_Sim_constantAero_T27.m not found.,18
