AeroTag,CL_target,CD_target,CoP_target,Accel_Score,Skidpad_Score,Autocross_Score,Endurance_Score,Total_Points,Skidpad_Time,Accel_Time,Autocross_Time,Endurance_Lap_Time,RunNumber,RunMode,DragEnergy_Endurance_kJ,DragEnergy_Autocross_kJ,TractiveEnergy_Endurance_kJ,TractiveEnergy_Autocross_kJ,Efficiency_Score,Mass_lbf,MassScenario,BSFC_g_per_kWh,EngineMode
Fast_CL_0.050_CD_0.015_CoP_0.525,0.05,0.015,0.525,75.04416313208965,73.79700232674672,87.82590847635792,203.24726705368366,439.91434098887794,4.886604270722083,4.5010696698494295,54.062339183180434,126.51828169876174,1,Fast,486.9176577659758,203.81536197029132,1888.7242340462728,868.1547424881359,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.550,0.05,0.015,0.55,74.66236592929607,74.14481860905413,88.11187652568093,202.84161209513218,439.76067315916333,4.880328385247188,4.507649851505437,54.01752017646233,126.58826120043192,2,Fast,483.34145483454097,203.18058929430018,1878.0047328372543,862.4764150838108,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.575,0.05,0.015,0.575,74.24048798297257,76.17729028759433,88.20492986792061,203.78168195923917,442.4043900977267,4.844132438392313,4.514943226143221,54.00295219566714,126.42620785024779,3,Fast,486.38458947714776,203.8145684604454,1882.311945385503,863.6558083154815,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.600,0.05,0.015,0.6,73.83244868019588,78.60805937441785,87.53397929813774,203.2552942147695,443.22978156752094,4.801882919464408,4.522019847960484,54.10816924216544,126.51689771455406,4,Fast,484.0669864332044,202.6554704783479,1871.75069637884,860.255229838907,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.625,0.05,0.015,0.625,73.38301750862942,78.78757396394558,86.87343216949827,203.84193810070784,442.8859617427811,4.798806413289274,4.529840046054222,54.21215612696407,126.41583478180546,5,Fast,478.84496707972687,198.43757821435437,1854.7459531862671,853.3833423237207,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.650,0.05,0.015,0.65,72.9715855328473,80.58469843206558,87.08319776366682,203.6357851238464,444.2752668524261,4.768329842363512,4.537022801870423,54.17909041446441,126.45133097907548,6,Fast,478.11583450290203,199.57377540785504,1848.1162466603373,850.4068180651136,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.675,0.05,0.015,0.675,72.5231874475913,81.66394849800346,85.1193131936907,201.39744557981132,440.7038947190968,4.750304076646001,4.544876895386793,54.49024893527411,126.83802385974855,7,Fast,472.58275577871535,195.79401186467672,1833.1203750588552,843.2255570222776,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.700,0.05,0.015,0.7,72.05148164419889,81.7488702150083,83.12949202731374,199.0199668674721,435.94981075399306,4.748894364283785,4.553168647550133,54.80918336752426,127.25135283306746,8,Fast,466.23657872241165,191.59134232416338,1811.465789189247,831.5966987009285,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.015_CoP_0.725,0.05,0.015,0.725,71.59439645296365,82.89091226313903,84.56619013697211,200.96198098327787,440.01347983635264,4.730057418559886,4.561232309491631,54.57853204928102,126.9135291841274,9,Fast,466.8472906670777,193.55348526917314,1804.3781387061501,829.3712030566844,,580.0,baseline,,corrected
Fast_CL_0.050_CD_0.022_CoP_0.525,0.05,0.0225,0.525,73.04642402275142,71.86583839248637,86.15392408406477,199.62216648730183,430.68835298660434,4.921895479474312,4.535714581437678,54.325880715322945,127.14640479920455,10,Fast,712.7362040689649,299.3412673807281,2019.1221409095608,924.8050153774918,,580.0,baseline,,corrected
