CL_target,CD_target,CoP_target,Total_Points_legacy,Total_Points_corrected,Endurance_Score_legacy,Endurance_Score_corrected,Autocross_Score_legacy,Autocross_Score_corrected,Skidpad_Score_legacy,Skidpad_Score_corrected,Accel_Score_legacy,Accel_Score_corrected,DragEnergy_Endurance_kJ_legacy,DragEnergy_Endurance_kJ_corrected,TractiveEnergy_Endurance_kJ_legacy,TractiveEnergy_Endurance_kJ_corrected
0.08,0.02,0.45,439.75709109704786,473.1871969393024,210.77711952779242,221.53923322075005,92.19665193330829,96.31816566199173,79.95776237870739,76.10918492283317,56.825557257239794,79.22061313372744,682.6150517923647,703.9803989945976,2062.099414112523,2202.9458629074825
0.035,0.015,0.425,362.79920706306075,399.2696374718388,171.53658471588923,183.41647608449207,72.0871539904794,76.5879856841017,68.72304415633941,65.39943457692232,50.452424200352716,73.86574112632272,429.09805641204895,445.11297995055656,1621.7384883840273,1747.4734954098726
0.04,0.015,0.425,370.1107755378592,408.56297520956014,175.50496578735041,187.82597739077735,74.09212862687401,78.65374315023317,68.98861167332376,67.247501600387,51.52506945031096,74.8357530681626,438.40885445405246,454.6991835379194,1661.2262155738385,1788.2148893931173
0.045,0.015,0.425,379.1928786751712,414.87891994834524,179.6233967143866,191.38279758794545,76.05359704710092,80.5930521348467,71.03785800776328,67.17456678581573,52.47802690592036,75.72850343973741,447.913939683082,463.6605438536231,1700.598307615199,1828.8567178565468
0.05,0.015,0.425,385.0850647256047,424.1125278377065,182.87662572887072,195.63030513361113,77.86591847774393,82.64046564442697,70.95445985242941,69.2095584141038,53.38806066656063,76.6321986455646,456.2564348420903,473.1250181597089,1737.1247501649227,1870.8868225467631
0.055,0.015,0.425,394.0762319699913,431.6482492249022,186.99511891511355,199.76773531681226,79.92593793968915,84.89818121866092,72.88904421718098,69.51002576201476,54.26613089800757,77.47230692741422,465.78185583806044,482.6881661966652,1775.9882428782792,1912.259192183471
0.035,0.0175,0.425,361.5551884282119,397.1201048678341,170.98982286591453,182.48115717670555,71.6708042365712,76.05123459874395,68.68629939354683,65.3723913651815,50.208261932179354,73.2153217272031,498.33491211998876,515.5556116680808,1663.4852063811747,1785.2982119969636
0.04,0.0175,0.425,367.5485923881405,405.39525364214387,174.2943549440382,186.39283896375807,73.47446140614159,77.95810167554095,68.61348059102276,66.87471193682725,51.16629544693799,74.16960106601763,507.8935155341203,526.1325672366163,1702.3374188407072,1826.7317330741625
0.045,0.0175,0.425,376.59263451628954,412.5613696407728,178.46324662275035,190.30279132844416,75.5145543419284,79.93402854261615,70.5291022663,67.27616163483881,52.085731285310764,75.04838813487365,518.8256373094639,536.5625696968779,1741.8464286303958,1868.9671326309997
0.05,0.0175,0.425,383.68526631675195,421.8702289742408,182.20820897874276,194.69728539525488,77.54736421396036,82.09001717406426,70.96190688006504,69.17260336135519,52.967786243983795,75.91032304356646,528.9527792471723,547.7785867184103,1781.7174522472628,1912.3050758822765
